Timestamp,OfferedLoad,RngRun,FlowSrc,FlowDst,Throughput,Delay
2021-05-24 22:05,1,1,10.1.5.9,10.1.5.1,0.971764,0.00211683
2021-05-24 22:05,1,1,10.1.10.7,10.1.10.1,0.876868,0.22235
2021-05-24 22:05,1,1,10.1.7.3,10.1.7.1,0.921608,0.0335606
2021-05-24 22:05,1,1,10.1.15.3,10.1.15.1,0.930436,0.0949985
2021-05-24 22:05,1,1,10.1.13.6,10.1.13.1,0.969144,0.0028499
2021-05-24 22:05,1,1,10.1.9.7,10.1.9.1,0.114664,0.287622
2021-05-24 22:05,1,1,10.1.7.6,10.1.7.1,0.971763,0.00182797
2021-05-24 22:05,1,1,10.1.0.10,10.1.0.1,0.549941,0.319995
2021-05-24 22:05,1,1,10.1.2.7,10.1.2.1,0.664987,0.259635
2021-05-24 22:05,1,1,10.1.13.2,10.1.13.1,0.615623,0.353383
2021-05-24 22:05,1,1,10.1.11.2,10.1.11.1,0.0986164,0.266511
2021-05-24 22:05,1,1,10.1.11.11,10.1.11.1,0.928486,0.00818651
2021-05-24 22:05,1,1,10.1.11.5,10.1.11.1,0.947176,0.00627659
2021-05-24 22:05,1,1,10.1.12.4,10.1.12.1,0.935615,0.0276212
2021-05-24 22:05,1,1,10.1.5.10,10.1.5.1,0.973077,0.00196047
2021-05-24 22:05,1,1,10.1.16.10,10.1.16.1,0.936259,0.00713472
2021-05-24 22:05,1,1,10.1.6.10,10.1.6.1,0.973076,0.00108429
2021-05-24 22:05,1,1,10.1.15.11,10.1.15.1,0.202276,0.358367
2021-05-24 22:05,1,1,10.1.1.8,10.1.1.1,0.0825403,0.129718
2021-05-24 22:05,1,1,10.1.1.10,10.1.1.1,0.966489,0.00288523
2021-05-24 22:05,1,1,10.1.9.10,10.1.9.1,0.970446,0.00302113
2021-05-24 22:05,1,1,10.1.14.8,10.1.14.1,0.964943,0.00534871
2021-05-24 22:05,1,1,10.1.10.4,10.1.10.1,0.931623,0.0892547
2021-05-24 22:05,1,1,10.1.9.11,10.1.9.1,0.962521,0.0106667
2021-05-24 22:05,1,1,10.1.16.9,10.1.16.1,0.972762,0.00117697
2021-05-24 22:05,1,1,10.1.7.2,10.1.7.1,0.928712,0.026864
2021-05-24 22:05,1,1,10.1.2.11,10.1.2.1,0.118476,0.311581
2021-05-24 22:05,1,1,10.1.1.2,10.1.1.1,0.972993,0.0032092
2021-05-24 22:05,1,1,10.1.17.10,10.1.17.1,0.954528,0.00913103
2021-05-24 22:05,1,1,10.1.15.8,10.1.15.1,0.972981,0.00174391
2021-05-24 22:05,1,1,10.1.10.8,10.1.10.1,0.935406,0.135926
2021-05-24 22:05,1,1,10.1.5.5,10.1.5.1,0.929123,0.117128
2021-05-24 22:05,1,1,10.1.2.9,10.1.2.1,0.973092,0.00118602
2021-05-24 22:05,1,1,10.1.0.4,10.1.0.1,0.950462,0.0450402
2021-05-24 22:05,1,1,10.1.10.10,10.1.10.1,0.924761,0.0448672
2021-05-24 22:05,1,1,10.1.9.9,10.1.9.1,0.548507,0.421543
2021-05-24 22:05,1,1,10.1.18.6,10.1.18.1,0.967696,0.00295896
2021-05-24 22:05,1,1,10.1.17.4,10.1.17.1,0.942355,0.0263706
2021-05-24 22:05,1,1,10.1.13.8,10.1.13.1,0.934075,0.0992628
2021-05-24 22:05,1,1,10.1.16.3,10.1.16.1,0.973099,0.00144383
2021-05-24 22:05,1,1,10.1.17.7,10.1.17.1,0.942072,0.0237434
2021-05-24 22:05,1,1,10.1.14.3,10.1.14.1,0.958377,0.00769594
2021-05-24 22:05,1,1,10.1.16.6,10.1.16.1,0.973073,0.00171606
2021-05-24 22:05,1,1,10.1.12.9,10.1.12.1,0.932511,0.0219956
2021-05-24 22:05,1,1,10.1.15.2,10.1.15.1,0.973104,0.00133587
2021-05-24 22:05,1,1,10.1.18.4,10.1.18.1,0.966393,0.00983252
2021-05-24 22:05,1,1,10.1.7.5,10.1.7.1,0.941552,0.0136921
2021-05-24 22:05,1,1,10.1.8.7,10.1.8.1,0.824707,0.225193
2021-05-24 22:05,1,1,10.1.14.7,10.1.14.1,0.812599,0.244522
2021-05-24 22:05,1,1,10.1.14.4,10.1.14.1,0.966074,0.00290237
2021-05-24 22:05,1,1,10.1.6.3,10.1.6.1,0.0515337,0.215033
2021-05-24 22:05,1,1,10.1.15.7,10.1.15.1,0.445401,0.419677
2021-05-24 22:05,1,1,10.1.3.4,10.1.3.1,0.915199,0.151847
2021-05-24 22:05,1,1,10.1.9.8,10.1.9.1,0.966306,0.00454788
2021-05-24 22:05,1,1,10.1.1.6,10.1.1.1,0.972952,0.00143828
2021-05-24 22:05,1,1,10.1.10.3,10.1.10.1,0.227975,0.171875
2021-05-24 22:05,1,1,10.1.17.2,10.1.17.1,0.967443,0.00527892
2021-05-24 22:05,1,1,10.1.16.2,10.1.16.1,0.96897,0.00438329
